Snail,time_5s_(s),speed_5s_(mm_s),heart_rate_5s_(BPM),distance_5s_(mm),speed_(cm_min),Total_mass(g),shell_mass
19,5,1.57638261,42.89586721,7.769044056,9.458295661,8.1661,1.1712
19,10,0.588220432,42.84646876,2.938161056,3.529322589,8.1661,1.1712
19,15,1.713134208,42.80189342,8.500057999,10.27880525,8.1661,1.1712
19,20,0.439331759,43.33267006,2.121313397,2.635990552,8.1661,1.1712
19,25,0.913713973,43.27984157,4.564001294,5.482283837,8.1661,1.1712
19,30,0.997517773,42.28820598,4.916166594,5.985106639,8.1661,1.1712
19,35,0.957414672,41.85109977,4.718522467,5.744488029,8.1661,1.1712
19,40,0.680675711,42.28820598,3.309309172,4.084054267,8.1661,1.1712
19,45,2.013357431,42.80189342,9.989675567,12.08014459,8.1661,1.1712
19,50,0.513704244,42.54909448,2.54884635,3.082225467,8.1661,1.1712
19,55,1.444881076,42.80189342,6.976608273,8.669286453,8.1661,1.1712
19,60,0.651302151,42.28820598,3.166500795,3.907812903,8.1661,1.1712
19,65,1.036014593,42.13744589,5.140393604,6.216087555,8.1661,1.1712
19,70,1.103807477,41.38152311,5.440004768,6.62284486,8.1661,1.1712
19,75,0.884555495,41.79069767,4.271076208,5.30733297,8.1661,1.1712
19,80,0.724900909,42.03945183,3.548462438,4.349405452,8.1661,1.1712
20,5,0.130770728,44.28050202,0.653199787,0.784624368,7.9804,1.3813
20,10,0.177669079,42.12236988,0.887457052,1.066014477,7.9804,1.3813
20,15,0.409331603,41.08890944,2.044611357,2.455989618,7.9804,1.3813
20,20,0.440503956,39.94648661,2.170979697,2.643023736,7.9804,1.3813
20,25,0.404028842,39.94648661,2.018124065,2.424173051,7.9804,1.3813
20,30,0.420194301,40.16022727,2.084878064,2.521165807,7.9804,1.3813
20,35,0.391798317,40.23585859,1.930938825,2.350789901,7.9804,1.3813
20,40,0.383181436,40.23585859,1.888471389,2.299088616,7.9804,1.3813
20,45,0.809825394,42.33920399,3.991143471,4.858952363,7.9804,1.3813
20,50,0.144988895,37.08095238,0.724219529,0.869933368,7.9804,1.3813
20,55,0.260893468,41.47410148,1.303162871,1.565360806,7.9804,1.3813
20,60,0.342913328,41.08890944,1.690014045,2.057479967,7.9804,1.3813
20,65,0.213425863,41.15750529,1.066062183,1.280555175,7.9804,1.3813
20,70,1.52133583,39.76835872,7.599072469,9.128014978,7.9804,1.3813
20,75,0.128289776,45.31619931,0.640807433,0.769738658,7.9804,1.3813
20,80,0.313367813,45.46733186,1.544401932,1.88020688,7.9804,1.3813
21,5,0.707774909,51.90468975,3.535335668,4.246649452,2.2694,0.2566
21,10,0.741166399,47.37153933,3.677445322,4.446998394,2.2694,0.2566
21,15,0.577668991,48.84702381,2.866220232,3.466013945,2.2694,0.2566
21,20,0.386305656,51.0168614,1.916732772,2.317833934,2.2694,0.2566
21,25,0.558270961,49.40281863,2.788563452,3.349625768,2.2694,0.2566
21,30,0.76563146,50.72800568,3.798833617,4.593788762,2.2694,0.2566
21,35,1.158519885,48.31920537,5.748228113,6.95111931,2.2694,0.2566
21,40,0.934607496,51.74135154,4.606119582,5.607644975,2.2694,0.2566
21,45,0.849891325,51.69673542,4.216905786,5.099347949,2.2694,0.2566
21,50,1.005565838,51.36383053,4.989316017,6.033395027,2.2694,0.2566
21,55,0.986006264,51.36383053,4.793765253,5.916037583,2.2694,0.2566
21,60,0.871576079,52.24890756,4.295475546,5.229456471,2.2694,0.2566
21,65,0.94136697,52.47542017,4.670780495,5.64820182,2.2694,0.2566
21,70,0.758925544,52.11887255,3.765560871,4.553553263,2.2694,0.2566
21,75,-0.014147471,51.35963585,-0.070666619,0.084884828,2.2694,0.2566
21,80,-0.070490206,52.09789916,-0.349751256,0.422941237,2.2694,0.2566
22,5,0.359832681,42.42916667,1.761416957,2.158996086,7.2145,1.1793
22,10,0.026376483,43.33267006,0.131750534,0.1582589,7.2145,1.1793
22,15,0.424559318,42.33350755,2.106535968,2.547355908,7.2145,1.1793
22,20,-0.003936144,44.5597561,-0.019529967,0.023616866,7.2145,1.1793
22,25,0.191793861,43.21321369,0.958010334,1.150763164,7.2145,1.1793
22,30,0.005753599,43.51498866,0.028739229,0.034521596,7.2145,1.1793
22,35,-0.049644621,44.11624564,-0.247974883,0.297867727,7.2145,1.1793
22,40,0.126712457,42.19475213,0.628709198,0.760274742,7.2145,1.1793
22,45,0.055620318,43.84666086,0.277823489,0.333721909,7.2145,1.1793
22,50,-0.094029629,44.925,-0.469677995,0.564177771,7.2145,1.1793
22,55,0.140836829,42.15362502,0.70347996,0.845020973,7.2145,1.1793
22,60,0.02768975,42.90325746,0.137388234,0.166138502,7.2145,1.1793
