time,value,interval_20s,ID,estado
0.701168614,57.65276235,"[0,20]",1,immobilized
2.203672788,57.37143711,"[0,20]",1,immobilized
3.739565943,56.54850888,"[0,20]",1,immobilized
5.141903172,55.97494443,"[0,20]",1,immobilized
6.444073456,54.15224524,"[0,20]",1,immobilized
7.679465776,54.50900816,"[0,20]",1,immobilized
9.248747913,56.63622442,"[0,20]",1,immobilized
11.0851419,59.31931977,"[0,20]",1,immobilized
12.32053422,60.70120836,"[0,20]",1,immobilized
14.3572621,63.38731031,"[0,20]",1,immobilized
16.66110184,63.41012847,"[0,20]",1,immobilized
18.03005008,59.03332834,"[0,20]",1,immobilized
19.59933222,56.43085391,"[0,20]",1,immobilized
21.16861436,56.24652057,"(20,40]",1,immobilized
22.50417362,58.02603811,"(20,40]",1,immobilized
24.14023372,58.58949778,"(20,40]",1,immobilized
25.70951586,58.45193077,"(20,40]",1,immobilized
27.17863105,57.83723018,"(20,40]",1,immobilized
28.81469115,58.59146943,"(20,40]",1,immobilized
30.41736227,58.87123228,"(20,40]",1,immobilized
32.05342237,59.21508536,"(20,40]",1,immobilized
33.58931553,59.1073298,"(20,40]",1,immobilized
35.02504174,58.51641533,"(20,40]",1,immobilized
36.46076795,57.30770795,"(20,40]",1,immobilized
37.82971619,56.02178024,"(20,40]",1,immobilized
39.36560935,58.29909469,"(20,40]",1,immobilized
40.86811352,59.16789659,"(40,60]",1,immobilized
42.27045075,59.93893157,"(40,60]",1,immobilized
43.77295492,61.00488539,"(40,60]",1,immobilized
45.44240401,61.8408645,"(40,60]",1,immobilized
47.17863105,60.54878278,"(40,60]",1,immobilized
48.68113523,59.32541922,"(40,60]",1,immobilized
50.11686144,58.29528532,"(40,60]",1,immobilized
51.58597663,58.47905377,"(40,60]",1,immobilized
52.88814691,58.38469162,"(40,60]",1,immobilized
54.1903172,58.15489878,"(40,60]",1,immobilized
55.8263773,58.81552487,"(40,60]",1,immobilized
57.29549249,58.81890798,"(40,60]",1,immobilized
58.96494157,60.77735176,"(40,60]",1,immobilized
61.00166945,64.85157375,"(60,80]",1,immobilized
64.04006678,66.58702822,"(60,80]",1,immobilized
65.60934891,64.25622859,"(60,80]",1,immobilized
