 ,Area(linea_horizontal_1),Mean(linea_horizontal_1),StdDev(linea_horizontal_1),Angle(linea_horizontal_1),Median(linea_horizontal_1),Length(linea_horizontal_1),Area(linea_vertical_1),Mean(linea_vertical_1),StdDev(linea_vertical_1),Angle(linea_vertical_1),Median(linea_vertical_1),Length(linea_vertical_1),Area(ovalo_1),Mean(ovalo_1),StdDev(ovalo_1),Median(ovalo_1),Area(linea_horizontal_2),Mean(linea_horizontal_2),StdDev(linea_horizontal_2),Angle(linea_horizontal_2),Median(linea_horizontal_2),Length(linea_horizontal_2),Area(linea_vertical_2),Mean(linea_vertical_2),StdDev(linea_vertical_2),Angle(linea_vertical_2),Median(linea_vertical_2),Length(linea_vertical_2),Area(ovalo_2),Mean(ovalo_2),StdDev(ovalo_2),Median(ovalo_2),Area(linea_horizontal_3),Mean(linea_horizontal_3),StdDev(linea_horizontal_3),Angle(linea_horizontal_3),Median(linea_horizontal_3),Length(linea_horizontal_3),Area(linea_vertical_3),Mean(linea_vertical_3),StdDev(linea_vertical_3),Angle(linea_vertical_3),Median(linea_vertical_3),Length(linea_vertical_3),Area(ovalo_3),Mean(ovalo_3),StdDev(ovalo_3),Median(ovalo_3),Area(linea_horizontal_4),Mean(linea_horizontal_4),StdDev(linea_horizontal_4),Angle(linea_horizontal_4),Median(linea_horizontal_4),Length(linea_horizontal_4),Area(linea_vertical_4),Mean(linea_vertical_4),StdDev(linea_vertical_4),Angle(linea_vertical_4),Median(linea_vertical_4),Length(linea_vertical_4),Area(ovalo_4),Mean(ovalo_4),StdDev(ovalo_4),Median(ovalo_4)
1,51,119.000,52.935,0,100,50,51,115.569,35.526,90,100,50,1976,117.598,46.082,109,51,128.373,52.746,0,112,50,51,121.314,43.181,90,112,50,1976,124.641,47.034,114,51,135.706,45.419,0,112,50,51,125.098,46.208,90,112,50,1976,126.771,43.347,116,51,135.294,54.512,0,119,50,51,129.137,38.729,90,121,50,1976,128.709,46.940,123
2,51,118.843,52.744,0,100,50,51,115.196,35.389,90,100,50,1976,117.631,46.212,109,51,127.882,52.312,0,110,50,51,121.824,43.831,90,110,50,1976,124.757,47.076,114,51,135.176,45.357,0,116,50,51,124.255,45.355,90,116,50,1976,126.562,43.292,116,51,135.784,53.876,0,121,50,51,129.824,39.108,90,123,50,1976,128.474,47.163,123
3,51,119.059,53.254,0,100,50,51,116.118,35.432,90,100,50,1976,117.784,46.113,109,51,127.588,52.054,0,112,50,51,121.961,44.665,90,112,50,1976,124.535,47.221,114,51,134.804,45.012,0,112,50,51,123.431,45.116,90,112,50,1976,126.186,43.157,116,51,134.608,53.084,0,121,50,51,128.647,39.772,90,121,50,1976,127.870,46.866,121
4,51,119.725,52.957,0,105,50,51,116.843,35.643,90,105,50,1976,118.129,46.047,109,51,126.020,51.415,0,110,50,51,122.157,45.202,90,110,50,1976,124.051,46.850,114,51,135.510,45.180,0,116,50,51,123.373,44.151,90,116,50,1976,126.137,42.814,116,51,134.490,53.454,0,119,50,51,128.902,40.050,90,119,50,1976,127.588,46.838,121
5,51,120.255,52.425,0,105,50,51,117.118,35.386,90,105,50,1976,118.381,46.020,109,51,125.549,50.994,0,107,50,51,121.373,45.113,90,107,50,1976,123.662,46.740,114,51,135.216,46.001,0,112,50,51,122.941,44.106,90,112,50,1976,126.206,42.892,116,51,133.980,53.495,0,118,50,51,128.137,39.658,90,118,50,1976,127.086,46.959,119
6,51,121.039,52.915,0,109,50,51,117.647,35.112,90,109,50,1976,118.682,45.754,109,51,125.686,51.173,0,110,50,51,121.137,45.549,90,110,50,1976,123.247,46.943,114,51,135.667,45.346,0,114,50,51,121.725,44.396,90,114,50,1976,126.035,42.969,116,51,133.667,53.540,0,118,50,51,128.275,40.163,90,118,50,1976,126.922,46.946,121
7,51,120.882,52.620,0,109,50,51,117.961,34.574,90,109,50,1976,119.012,45.648,110,51,124.902,50.871,0,107,50,51,121.569,45.379,90,107,50,1976,123.138,46.750,112,51,136.471,45.201,0,118,50,51,122.373,43.575,90,118,50,1976,126.315,42.716,116,51,134.314,53.036,0,119,50,51,127.765,40.375,90,119,50,1976,126.766,46.909,121
8,51,121.824,53.082,0,109,50,51,118.255,35.252,90,109,50,1976,119.481,45.521,110,51,124.882,50.708,0,107,50,51,121.157,45.503,90,107,50,1976,123.101,46.759,112,51,136.686,44.333,0,118,50,51,122.176,43.242,90,118,50,1976,126.423,42.686,116,51,133.490,52.662,0,118,50,51,127.765,40.505,90,118,50,1976,126.316,46.757,119
9,51,122.392,53.058,0,109,50,51,120.333,34.541,90,109,50,1976,120.499,45.558,112,51,124.549,50.917,0,105,50,51,122.078,45.632,90,105,50,1976,122.892,47.004,112,51,137.667,44.270,0,119,50,51,122.294,43.015,90,119,50,1976,126.505,42.657,116,51,133.451,52.679,0,119,50,51,127.569,39.969,90,119,50,1976,126.118,46.552,119
10,51,124.373,53.266,0,112,50,51,121.765,35.010,90,112,50,1976,121.748,45.532,114,51,123.941,50.937,0,107,50,51,121.961,46.024,90,107,50,1976,122.861,47.061,112,51,137.392,44.288,0,119,50,51,122.373,42.806,90,119,50,1976,126.910,42.396,118,51,133.020,52.442,0,121,50,51,127.941,39.860,90,121,50,1976,126.015,46.595,119
