 ,Area(linea_horizontal_1),Mean(linea_horizontal_1),StdDev(linea_horizontal_1),Min(linea_horizontal_1),Max(linea_horizontal_1),Angle(linea_horizontal_1),Feret(linea_horizontal_1),FeretX(linea_horizontal_1),FeretY(linea_horizontal_1),FeretAngle(linea_horizontal_1),MinFeret(linea_horizontal_1),Length(linea_horizontal_1),Area(linea_vertical_1),Mean(linea_vertical_1),StdDev(linea_vertical_1),Min(linea_vertical_1),Max(linea_vertical_1),Angle(linea_vertical_1),Feret(linea_vertical_1),FeretX(linea_vertical_1),FeretY(linea_vertical_1),FeretAngle(linea_vertical_1),MinFeret(linea_vertical_1),Length(linea_vertical_1),Area(ovalo_1),Mean(ovalo_1),StdDev(ovalo_1),Min(ovalo_1),Max(ovalo_1),Feret(ovalo_1),FeretX(ovalo_1),FeretY(ovalo_1),FeretAngle(ovalo_1),MinFeret(ovalo_1),Area(linea_horizontal_2),Mean(linea_horizontal_2),StdDev(linea_horizontal_2),Min(linea_horizontal_2),Max(linea_horizontal_2),Angle(linea_horizontal_2),Feret(linea_horizontal_2),FeretX(linea_horizontal_2),FeretY(linea_horizontal_2),FeretAngle(linea_horizontal_2),MinFeret(linea_horizontal_2),Length(linea_horizontal_2),Area(linea_vertical_2),Mean(linea_vertical_2),StdDev(linea_vertical_2),Min(linea_vertical_2),Max(linea_vertical_2),Angle(linea_vertical_2),Feret(linea_vertical_2),FeretX(linea_vertical_2),FeretY(linea_vertical_2),FeretAngle(linea_vertical_2),MinFeret(linea_vertical_2),Length(linea_vertical_2),Area(ovalo_2),Mean(ovalo_2),StdDev(ovalo_2),Min(ovalo_2),Max(ovalo_2),Feret(ovalo_2),FeretX(ovalo_2),FeretY(ovalo_2),FeretAngle(ovalo_2),MinFeret(ovalo_2),Area(linea_horizontal_3),Mean(linea_horizontal_3),StdDev(linea_horizontal_3),Min(linea_horizontal_3),Max(linea_horizontal_3),Angle(linea_horizontal_3),Feret(linea_horizontal_3),FeretX(linea_horizontal_3),FeretY(linea_horizontal_3),FeretAngle(linea_horizontal_3),MinFeret(linea_horizontal_3),Length(linea_horizontal_3),Area(linea_vertical_3),Mean(linea_vertical_3),StdDev(linea_vertical_3),Min(linea_vertical_3),Max(linea_vertical_3),Angle(linea_vertical_3),Feret(linea_vertical_3),FeretX(linea_vertical_3),FeretY(linea_vertical_3),FeretAngle(linea_vertical_3),MinFeret(linea_vertical_3),Length(linea_vertical_3),Area(ovalo_3),Mean(ovalo_3),StdDev(ovalo_3),Min(ovalo_3),Max(ovalo_3),Feret(ovalo_3),FeretX(ovalo_3),FeretY(ovalo_3),FeretAngle(ovalo_3),MinFeret(ovalo_3),Area(linea_horizontal_4),Mean(linea_horizontal_4),StdDev(linea_horizontal_4),Min(linea_horizontal_4),Max(linea_horizontal_4),Angle(linea_horizontal_4),Feret(linea_horizontal_4),FeretX(linea_horizontal_4),FeretY(linea_horizontal_4),FeretAngle(linea_horizontal_4),MinFeret(linea_horizontal_4),Length(linea_horizontal_4),Area(linea_vertical_4),Mean(linea_vertical_4),StdDev(linea_vertical_4),Min(linea_vertical_4),Max(linea_vertical_4),Angle(linea_vertical_4),Feret(linea_vertical_4),FeretX(linea_vertical_4),FeretY(linea_vertical_4),FeretAngle(linea_vertical_4),MinFeret(linea_vertical_4),Length(linea_vertical_4),Area(ovalo_4),Mean(ovalo_4),StdDev(ovalo_4),Min(ovalo_4),Max(ovalo_4),Feret(ovalo_4),FeretX(ovalo_4),FeretY(ovalo_4),FeretAngle(ovalo_4),MinFeret(ovalo_4)
1,51,120.098,34.092,34,153,0,50,96,66,0,0,50,51,115.451,52.655,28,179,90,50,121,41,90,0,50,1976,112.782,50.246,17,220,50,96,66,0,50,51,122.235,32.645,39,159,0,50,96,167,0,0,50,51,114.490,51.053,26,179,90,50,121,142,90,0,50,1976,113.192,47.407,21,207,50,96,167,0,50,51,126.412,32.243,44,159,0,50,96,268,0,0,50,51,120.902,51.997,32,184,90,50,121,243,90,0,50,1976,119.564,48.421,26,216,50,96,268,0,50,51,132.275,38.026,44,180,0,50,96,369,0,0,50,51,122.314,49.156,34,184,90,50,121,344,90,0,50,1976,123.513,48.817,25,216,50,96,369,0,50
2,51,120.176,34.403,34,153,0,50,96,66,0,0,50,51,115.255,53.256,25,179,90,50,121,41,90,0,50,1976,112.726,50.294,14,220,50,96,66,0,50,51,122.549,33.473,39,166,0,50,96,167,0,0,50,51,113.922,50.109,26,177,90,50,121,142,90,0,50,1976,113.189,47.310,21,209,50,96,167,0,50,51,126.235,31.633,46,161,0,50,96,268,0,0,50,51,121.647,52.972,30,184,90,50,121,243,90,0,50,1976,119.562,48.396,26,218,50,96,268,0,50,51,133.392,39.046,44,182,0,50,96,369,0,0,50,51,122.098,48.398,32,184,90,50,121,344,90,0,50,1976,124.211,49.151,23,214,50,96,369,0,50
3,51,120.176,33.772,35,153,0,50,96,66,0,0,50,51,115.098,52.639,25,179,90,50,121,41,90,0,50,1976,112.416,50.160,14,220,50,96,66,0,50,51,123.882,35.031,39,166,0,50,96,167,0,0,50,51,113.882,49.338,28,175,90,50,121,142,90,0,50,1976,113.824,47.665,21,209,50,96,167,0,50,51,126.471,31.496,46,161,0,50,96,268,0,0,50,51,122.569,53.359,32,187,90,50,121,243,90,0,50,1976,120.025,48.645,26,218,50,96,268,0,50,51,134.902,39.582,46,187,0,50,96,369,0,0,50,51,122.314,47.301,34,184,90,50,121,344,90,0,50,1976,124.846,49.242,25,211,50,96,369,0,50
4,51,119.588,33.677,35,153,0,50,96,66,0,0,50,51,114.137,52.297,26,179,90,50,121,41,90,0,50,1976,112.129,49.853,14,218,50,96,66,0,50,51,125.863,37.112,39,171,0,50,96,167,0,0,50,51,113.902,48.848,28,175,90,50,121,142,90,0,50,1976,114.912,48.103,21,207,50,96,167,0,50,51,125.824,30.998,46,161,0,50,96,268,0,0,50,51,122.569,53.425,30,189,90,50,121,243,90,0,50,1976,119.897,48.629,26,216,50,96,268,0,50,51,134.588,39.450,46,189,0,50,96,369,0,0,50,51,122.255,46.615,34,180,90,50,121,344,90,0,50,1976,124.628,49.247,23,209,50,96,369,0,50
5,51,119.824,34.128,35,155,0,50,96,66,0,0,50,51,112.745,51.579,26,177,90,50,121,41,90,0,50,1976,111.323,49.398,12,216,50,96,66,0,50,51,127.902,39.236,39,180,0,50,96,167,0,0,50,51,114.176,48.401,28,177,90,50,121,142,90,0,50,1976,116.465,48.915,21,209,50,96,167,0,50,51,125.078,30.281,46,161,0,50,96,268,0,0,50,51,123.392,54.076,30,191,90,50,121,243,90,0,50,1976,119.983,48.755,26,218,50,96,268,0,50,51,135.314,40.391,46,193,0,50,96,369,0,0,50,51,122.137,46.012,35,180,90,50,121,344,90,0,50,1976,124.871,49.311,25,207,50,96,369,0,50
6,51,119.020,34.593,34,157,0,50,96,66,0,0,50,51,111.824,50.058,28,177,90,50,121,41,90,0,50,1976,110.499,49.014,12,216,50,96,66,0,50,51,129.118,40.945,39,184,0,50,96,167,0,0,50,51,114.510,47.646,28,175,90,50,121,142,90,0,50,1976,117.559,49.674,21,209,50,96,167,0,50,51,125.137,30.370,46,161,0,50,96,268,0,0,50,51,123.353,54.061,30,191,90,50,121,243,90,0,50,1976,119.871,48.897,26,218,50,96,268,0,50,51,135.490,40.621,44,195,0,50,96,369,0,0,50,51,121.471,45.988,34,180,90,50,121,344,90,0,50,1976,124.504,49.140,25,209,50,96,369,0,50
7,51,119.059,35.552,34,159,0,50,96,66,0,0,50,51,110.451,49.778,26,173,90,50,121,41,90,0,50,1976,109.904,48.591,14,214,50,96,66,0,50,51,130.686,42.502,39,189,0,50,96,167,0,0,50,51,114.980,47.177,30,175,90,50,121,142,90,0,50,1976,118.589,50.233,21,207,50,96,167,0,50,51,124.235,30.108,46,161,0,50,96,268,0,0,50,51,123.647,54.122,30,191,90,50,121,243,90,0,50,1976,119.975,48.786,25,220,50,96,268,0,50,51,135.569,40.250,46,195,0,50,96,369,0,0,50,51,120.647,45.589,35,179,90,50,121,344,90,0,50,1976,124.240,48.993,21,207,50,96,369,0,50
8,51,119.471,35.643,34,161,0,50,96,66,0,0,50,51,109.961,49.739,26,171,90,50,121,41,90,0,50,1976,109.422,48.263,12,211,50,96,66,0,50,51,131.667,42.781,41,191,0,50,96,167,0,0,50,51,115.000,47.106,28,175,90,50,121,142,90,0,50,1976,118.941,50.442,21,209,50,96,167,0,50,51,123.627,29.446,46,159,0,50,96,268,0,0,50,51,123.941,54.094,32,191,90,50,121,243,90,0,50,1976,119.900,48.882,25,220,50,96,268,0,50,51,135.412,39.832,46,193,0,50,96,369,0,0,50,51,120.843,45.946,34,180,90,50,121,344,90,0,50,1976,124.105,48.835,23,207,50,96,369,0,50
9,51,119.196,36.398,34,162,0,50,96,66,0,0,50,51,109.039,49.252,26,170,90,50,121,41,90,0,50,1976,109.037,47.951,14,207,50,96,66,0,50,51,131.588,42.295,41,193,0,50,96,167,0,0,50,51,115.098,46.822,28,171,90,50,121,142,90,0,50,1976,118.976,50.309,21,205,50,96,167,0,50,51,123.392,29.856,44,159,0,50,96,268,0,0,50,51,123.922,54.129,32,191,90,50,121,243,90,0,50,1976,119.731,48.860,25,220,50,96,268,0,50,51,134.980,39.546,46,193,0,50,96,369,0,0,50,51,121.373,45.677,34,179,90,50,121,344,90,0,50,1976,124.139,48.563,25,207,50,96,369,0,50
10,51,120.451,38.173,34,170,0,50,96,66,0,0,50,51,108.451,49.025,26,170,90,50,121,41,90,0,50,1976,109.651,48.211,12,205,50,96,66,0,50,51,132.000,43.216,41,196,0,50,96,167,0,0,50,51,115.176,46.727,30,171,90,50,121,142,90,0,50,1976,119.120,50.567,21,205,50,96,167,0,50,51,123.176,29.479,44,159,0,50,96,268,0,0,50,51,123.745,53.645,32,193,90,50,121,243,90,0,50,1976,119.531,48.831,25,220,50,96,268,0,50,51,135.118,38.851,48,191,0,50,96,369,0,0,50,51,121.235,46.186,34,179,90,50,121,344,90,0,50,1976,124.128,48.560,25,207,50,96,369,0,50
