 ,Mean(linea_horizontal_1),StdDev(linea_horizontal_1),Min(linea_horizontal_1),Max(linea_horizontal_1),Angle(linea_horizontal_1),Length(linea_horizontal_1),Mean(linea_vertical_1),StdDev(linea_vertical_1),Min(linea_vertical_1),Max(linea_vertical_1),Angle(linea_vertical_1),Length(linea_vertical_1),Mean(ovalo_1),StdDev(ovalo_1),Min(ovalo_1),Max(ovalo_1),Mean(linea_horizontal_2),StdDev(linea_horizontal_2),Min(linea_horizontal_2),Max(linea_horizontal_2),Angle(linea_horizontal_2),Length(linea_horizontal_2),Mean(linea_vertical_2),StdDev(linea_vertical_2),Min(linea_vertical_2),Max(linea_vertical_2),Angle(linea_vertical_2),Length(linea_vertical_2),Mean(ovalo_2),StdDev(ovalo_2),Min(ovalo_2),Max(ovalo_2),Mean(linea_horizontal_3),StdDev(linea_horizontal_3),Min(linea_horizontal_3),Max(linea_horizontal_3),Angle(linea_horizontal_3),Length(linea_horizontal_3),Mean(linea_vertical_3),StdDev(linea_vertical_3),Min(linea_vertical_3),Max(linea_vertical_3),Angle(linea_vertical_3),Length(linea_vertical_3),Mean(ovalo_3),StdDev(ovalo_3),Min(ovalo_3),Max(ovalo_3),Mean(linea_horizontal_4),StdDev(linea_horizontal_4),Min(linea_horizontal_4),Max(linea_horizontal_4),Angle(linea_horizontal_4),Length(linea_horizontal_4),Mean(linea_vertical_4),StdDev(linea_vertical_4),Min(linea_vertical_4),Max(linea_vertical_4),Angle(linea_vertical_4),Length(linea_vertical_4),Mean(ovalo_4),StdDev(ovalo_4),Min(ovalo_4),Max(ovalo_4)
1,63.098,9.209,23,69,0,50,64.765,3.284,59,69,90,50,62.683,8.371,14,73,61.608,8.372,21,66,0,50,64.902,4.540,57,73,90,50,62.320,8.216,14,75,49.745,6.387,19,53,0,50,51.745,3.032,48,59,90,50,50.306,6.449,14,60,55.039,8.171,19,60,0,50,58.608,6.255,46,68,90,50,56.057,8.817,12,69
2,62.294,8.707,21,68,0,50,64.157,3.791,57,69,90,50,62.280,7.836,16,71,61.020,8.624,21,66,0,50,63.078,4.103,53,71,90,50,60.933,8.042,14,71,51.784,6.382,21,55,0,50,54.451,3.828,48,66,90,50,52.189,6.619,14,66,53.471,8.196,17,59,0,50,57.431,5.522,46,68,90,50,54.948,8.633,12,68
3,67.647,8.834,25,73,0,50,69.902,3.796,62,76,90,50,67.534,8.326,16,78,59.961,7.610,23,64,0,50,62.824,4.706,55,73,90,50,60.019,7.764,14,73,54.196,7.003,21,60,0,50,56.039,3.292,53,64,90,50,54.650,6.963,14,66,53.137,7.800,17,57,0,50,56.588,5.873,46,68,90,50,54.380,8.380,12,68
4,70.843,9.462,25,76,0,50,71.804,3.124,64,76,90,50,70.634,8.671,17,80,57.961,7.397,21,62,0,50,61.667,3.691,57,71,90,50,59.166,7.400,14,71,56.000,7.705,19,62,0,50,58.275,4.143,51,66,90,50,55.998,7.227,12,66,53.510,7.619,19,57,0,50,56.804,5.762,46,68,90,50,53.733,8.359,12,68
5,71.294,9.483,26,76,0,50,73.039,3.206,66,78,90,50,70.799,8.716,16,82,58.863,8.077,21,64,0,50,60.510,4.115,51,68,90,50,57.872,7.299,14,68,57.020,7.781,19,60,0,50,59.039,3.873,53,66,90,50,56.812,7.533,12,66,51.667,7.863,17,55,0,50,55.902,5.533,46,64,90,50,52.880,8.470,10,68
6,70.510,9.142,26,76,0,50,72.902,3.390,66,78,90,50,70.623,8.469,17,80,57.725,7.642,23,62,0,50,60.333,3.525,53,66,90,50,57.731,7.389,14,68,58.255,7.927,21,64,0,50,59.333,3.659,53,66,90,50,57.715,7.434,14,66,51.941,7.839,17,57,0,50,55.000,5.790,44,66,90,50,52.425,8.228,10,66
7,70.529,10.013,25,76,0,50,72.882,3.474,66,80,90,50,70.451,8.652,17,82,56.882,7.375,21,60,0,50,58.333,3.456,53,66,90,50,56.573,6.954,14,68,57.431,7.890,19,62,0,50,59.843,3.460,53,68,90,50,57.663,7.638,14,68,50.471,6.733,19,53,0,50,53.471,5.069,44,62,90,50,51.008,7.595,10,64
8,71.098,9.281,26,76,0,50,72.804,3.533,66,80,90,50,70.260,8.491,17,82,56.549,7.333,21,60,0,50,57.961,3.600,48,66,90,50,56.346,6.903,12,68,58.196,8.270,19,62,0,50,59.824,4.180,53,68,90,50,57.892,7.655,14,68,50.059,7.204,19,55,0,50,52.118,4.938,44,59,90,50,50.066,7.630,10,62
9,71.137,10.119,25,76,0,50,73.196,3.194,68,78,90,50,70.681,8.769,16,80,55.549,7.747,21,62,0,50,58.059,3.807,51,68,90,50,56.064,7.185,12,68,57.275,8.340,21,64,0,50,59.431,4.272,53,69,90,50,57.610,7.613,12,69,49.529,7.360,17,55,0,50,51.608,3.868,44,59,90,50,49.914,7.359,10,60
10,69.529,9.471,25,75,0,50,72.627,2.793,66,78,90,50,69.813,8.743,17,80,56.314,7.447,21,62,0,50,59.118,3.963,50,66,90,50,56.730,7.180,12,68,56.588,7.710,21,62,0,50,58.980,3.674,51,66,90,50,56.939,7.503,14,69,48.176,6.790,17,53,0,50,50.882,5.094,42,59,90,50,49.559,7.353,10,59
