 ,Area(linea_horizontal_1),Mean(linea_horizontal_1),StdDev(linea_horizontal_1),Angle(linea_horizontal_1),Median(linea_horizontal_1),Length(linea_horizontal_1),Area(linea_vertical_1),Mean(linea_vertical_1),StdDev(linea_vertical_1),Angle(linea_vertical_1),Median(linea_vertical_1),Length(linea_vertical_1),Area(ovalo_1),Mean(ovalo_1),StdDev(ovalo_1),Median(ovalo_1),Area(linea_horizontal_2),Mean(linea_horizontal_2),StdDev(linea_horizontal_2),Angle(linea_horizontal_2),Median(linea_horizontal_2),Length(linea_horizontal_2),Area(linea_vertical_2),Mean(linea_vertical_2),StdDev(linea_vertical_2),Angle(linea_vertical_2),Median(linea_vertical_2),Length(linea_vertical_2),Area(ovalo_2),Mean(ovalo_2),StdDev(ovalo_2),Median(ovalo_2),Area(linea_horizontal_3),Mean(linea_horizontal_3),StdDev(linea_horizontal_3),Angle(linea_horizontal_3),Median(linea_horizontal_3),Length(linea_horizontal_3),Area(linea_vertical_3),Mean(linea_vertical_3),StdDev(linea_vertical_3),Angle(linea_vertical_3),Median(linea_vertical_3),Length(linea_vertical_3),Area(ovalo_3),Mean(ovalo_3),StdDev(ovalo_3),Median(ovalo_3),Area(linea_horizontal_4),Mean(linea_horizontal_4),StdDev(linea_horizontal_4),Angle(linea_horizontal_4),Median(linea_horizontal_4),Length(linea_horizontal_4),Area(linea_vertical_4),Mean(linea_vertical_4),StdDev(linea_vertical_4),Angle(linea_vertical_4),Median(linea_vertical_4),Length(linea_vertical_4),Area(ovalo_4),Mean(ovalo_4),StdDev(ovalo_4),Median(ovalo_4)
1,44,146.955,44.340,0,143.000,43,51,118.069,46.515,90,116.000,50,1694,127.626,48.656,127,47,149.553,44.365,0,153,46,51,121.588,49.829,90,125,50,1804,131.151,49.697,130,46,157.326,48.007,0,156.500,45,51,125.863,50.738,90,122.000,50,1766,136.814,53.467,134,47,156.957,45.897,0,164,46,51,124.745,51.012,90,130,50,1804,136.225,52.326,134
2,44,147.932,45.487,0,144.000,43,51,118.725,46.941,90,116.000,50,1694,128.430,49.179,125,47,148.404,43.101,0,152,46,51,120.373,48.465,90,119,50,1804,130.505,49.204,130,46,156.870,48.086,0,154.500,45,51,125.314,51.604,90,123.000,50,1766,136.683,53.641,134,47,156.596,46.023,0,164,46,51,124.804,51.701,90,128,50,1804,135.785,52.338,134
3,44,149.818,46.140,0,145.000,43,51,119.186,47.278,90,118.000,50,1694,129.418,49.637,127,47,147.957,43.437,0,153,46,51,120.608,48.411,90,121,50,1804,130.268,49.046,128,46,157.457,48.321,0,156.500,45,51,125.588,51.944,90,122.000,50,1766,137.109,54.104,136,47,157.489,46.424,0,166,46,51,125.706,51.566,90,130,50,1804,136.414,52.783,134
4,44,150.818,46.638,0,147.000,43,51,119.284,47.531,90,118.000,50,1694,130.001,49.970,127,47,148.128,43.281,0,155,46,51,120.706,47.997,90,119,50,1804,130.294,48.932,128,46,158.109,47.752,0,157.000,45,51,126.000,52.346,90,125.000,50,1766,137.213,54.296,136,47,157.468,46.284,0,166,46,51,125.902,51.339,90,130,50,1804,136.527,52.825,136
5,44,150.523,46.569,0,148.000,43,51,119.422,47.526,90,122.000,50,1694,130.086,50.153,127,47,148.638,43.439,0,157,46,51,120.882,47.981,90,119,50,1804,129.926,48.994,128,46,158.239,48.208,0,157.000,45,51,125.971,52.634,90,123.000,50,1766,137.134,54.399,136,47,156.617,45.832,0,162,46,51,126.216,51.625,90,127,50,1804,136.395,52.995,136
6,44,151.568,46.467,0,148.000,43,51,119.941,47.548,90,118.000,50,1694,130.642,50.235,128,47,147.894,43.746,0,157,46,51,120.216,48.196,90,123,50,1804,129.573,48.944,128,46,158.739,48.617,0,158.500,45,51,125.539,51.854,90,124.500,50,1766,136.945,54.237,136,47,156.851,45.552,0,162,46,51,125.431,51.739,90,125,50,1804,136.222,52.922,136
7,44,150.773,47.671,0,149.000,43,51,120.324,47.401,90,120.000,50,1694,130.431,50.341,128,47,147.532,43.450,0,155,46,51,120.255,48.392,90,123,50,1804,129.560,48.774,128,46,158.022,48.257,0,157.500,45,51,125.206,51.996,90,126.500,50,1766,136.668,54.289,136,47,156.872,45.558,0,162,46,51,125.078,51.635,90,123,50,1804,135.943,52.767,136
8,44,150.955,47.200,0,149.000,43,51,119.735,47.284,90,118.000,50,1694,130.513,50.273,128,47,147.234,42.594,0,153,46,51,119.392,48.576,90,121,50,1804,129.202,48.671,128,46,158.022,48.138,0,157.500,45,51,125.245,52.120,90,126.500,50,1766,136.556,54.211,136,47,156.723,45.791,0,161,46,51,124.765,51.553,90,125,50,1804,135.730,52.761,136
9,44,150.818,47.021,0,150.000,43,51,120.294,47.573,90,120.000,50,1694,130.581,50.245,127,47,147.021,42.797,0,153,46,51,119.235,48.575,90,121,50,1804,129.134,48.599,128,46,157.783,48.316,0,156.000,45,51,124.520,52.520,90,126.500,50,1766,135.939,54.183,134,47,156.170,45.737,0,162,46,51,124.588,51.841,90,125,50,1804,135.514,52.741,134
10,44,150.364,47.026,0,150.000,43,51,120.245,47.363,90,120.000,50,1694,130.533,50.097,128,47,146.511,41.987,0,153,46,51,119.275,48.273,90,121,50,1804,128.785,48.223,128,46,157.413,48.411,0,156.000,45,51,124.343,52.554,90,124.500,50,1766,135.932,54.090,134,47,155.574,45.809,0,157,46,51,124.118,52.535,90,125,50,1804,135.049,52.672,134
