 ,Mean(linea_horizontal_1),StdDev(linea_horizontal_1),Min(linea_horizontal_1),Max(linea_horizontal_1),Angle(linea_horizontal_1),Length(linea_horizontal_1),Mean(linea_vertical_1),StdDev(linea_vertical_1),Min(linea_vertical_1),Max(linea_vertical_1),Angle(linea_vertical_1),Length(linea_vertical_1),Mean(ovalo_1),StdDev(ovalo_1),Min(ovalo_1),Max(ovalo_1),Mean(linea_horizontal_2),StdDev(linea_horizontal_2),Min(linea_horizontal_2),Max(linea_horizontal_2),Angle(linea_horizontal_2),Length(linea_horizontal_2),Mean(linea_vertical_2),StdDev(linea_vertical_2),Min(linea_vertical_2),Max(linea_vertical_2),Angle(linea_vertical_2),Length(linea_vertical_2),Mean(ovalo_2),StdDev(ovalo_2),Min(ovalo_2),Max(ovalo_2),Mean(linea_horizontal_3),StdDev(linea_horizontal_3),Min(linea_horizontal_3),Max(linea_horizontal_3),Angle(linea_horizontal_3),Length(linea_horizontal_3),Mean(linea_vertical_3),StdDev(linea_vertical_3),Min(linea_vertical_3),Max(linea_vertical_3),Angle(linea_vertical_3),Length(linea_vertical_3),Mean(ovalo_3),StdDev(ovalo_3),Min(ovalo_3),Max(ovalo_3),Mean(linea_horizontal_4),StdDev(linea_horizontal_4),Min(linea_horizontal_4),Max(linea_horizontal_4),Angle(linea_horizontal_4),Length(linea_horizontal_4),Mean(linea_vertical_4),StdDev(linea_vertical_4),Min(linea_vertical_4),Max(linea_vertical_4),Angle(linea_vertical_4),Length(linea_vertical_4),Mean(ovalo_4),StdDev(ovalo_4),Min(ovalo_4),Max(ovalo_4)
1,72.961,22.724,42,139,0,50,87.235,21.591,55,130,90,50,84.766,24.387,23,187,71.000,23.551,41,137,0,50,84.373,20.563,51,132,90,50,81.950,23.269,17,184,60.059,17.515,35,98,0,50,69.451,19.039,48,119,90,50,70.126,23.028,14,191,60.196,17.787,37,105,0,50,72.588,22.509,46,137,90,50,72.618,25.145,10,196
2,72.667,22.991,42,136,0,50,86.784,21.547,55,134,90,50,84.348,24.500,23,186,70.353,23.094,41,137,0,50,84.373,20.381,55,132,90,50,81.478,23.388,21,191,60.373,17.561,35,96,0,50,69.471,18.146,48,116,90,50,69.591,21.811,14,186,59.588,18.207,35,105,0,50,71.784,23.281,44,137,90,50,72.237,25.280,10,195
3,72.137,22.193,42,137,0,50,87.373,21.503,55,134,90,50,83.983,24.471,23,187,69.235,23.053,41,137,0,50,83.059,20.368,51,134,90,50,80.952,23.432,21,187,59.863,17.718,35,98,0,50,69.824,16.513,50,114,90,50,69.341,19.927,12,171,59.588,17.669,37,105,0,50,71.098,22.636,44,134,90,50,71.743,25.306,10,196
4,71.667,22.143,42,137,0,50,86.392,21.518,55,136,90,50,83.427,24.345,21,187,69.451,22.712,41,137,0,50,82.922,20.587,51,134,90,50,80.715,23.393,21,184,62.549,18.513,35,107,0,50,71.216,15.698,48,110,90,50,71.107,19.098,12,157,58.412,17.368,35,103,0,50,69.902,22.068,44,134,90,50,70.840,24.994,12,195
5,70.529,22.205,41,136,0,50,84.627,21.241,53,134,90,50,82.554,24.290,23,189,68.922,22.195,41,132,0,50,82.353,20.679,50,134,90,50,80.359,23.539,21,182,65.725,21.124,37,121,0,50,75.000,16.276,51,114,90,50,74.256,19.733,10,153,58.529,17.106,35,102,0,50,69.745,22.223,42,134,90,50,70.532,24.967,12,193
6,69.431,21.498,42,134,0,50,84.294,21.893,53,136,90,50,82.047,24.288,23,189,68.765,22.233,41,132,0,50,81.804,20.276,51,132,90,50,79.785,23.440,23,184,67.765,21.935,39,128,0,50,78.745,18.059,53,121,90,50,77.412,20.341,10,152,58.353,17.143,35,103,0,50,69.667,22.341,44,136,90,50,70.032,25.271,10,195
7,69.314,21.589,41,130,0,50,83.078,21.131,50,134,90,50,81.526,24.131,23,191,68.451,22.186,41,132,0,50,80.863,20.415,51,130,90,50,79.343,23.449,21,184,70.333,22.770,37,127,0,50,81.275,18.397,57,123,90,50,79.875,21.153,10,157,57.843,17.934,35,105,0,50,69.431,22.941,42,137,90,50,69.404,25.265,10,193
8,68.333,21.136,42,127,0,50,82.627,20.969,50,132,90,50,80.929,24.058,23,191,67.745,22.274,41,128,0,50,80.745,20.809,50,132,90,50,78.850,23.598,23,184,72.490,23.573,37,130,0,50,83.039,18.461,55,125,90,50,81.970,21.570,10,164,57.412,18.133,35,103,0,50,68.353,22.202,41,137,90,50,69.153,25.198,10,191
9,67.765,20.985,42,127,0,50,81.529,21.358,50,132,90,50,80.252,24.252,23,198,67.118,22.023,39,128,0,50,79.510,20.481,48,130,90,50,78.249,23.712,21,186,75.039,24.773,37,137,0,50,84.941,19.547,55,128,90,50,84.143,22.232,10,164,56.745,17.703,35,103,0,50,68.039,21.820,42,137,90,50,68.736,25.041,10,191
10,67.627,21.209,42,128,0,50,81.216,21.072,50,130,90,50,79.782,24.221,25,195,67.137,21.364,39,127,0,50,78.647,21.081,50,134,90,50,77.764,23.772,21,189,75.824,24.772,39,141,0,50,86.529,20.183,57,130,90,50,85.635,22.650,14,170,56.922,17.955,34,102,0,50,67.490,22.681,41,141,90,50,68.459,25.188,10,193
