 ,Mean(linea_horizontal_1),StdDev(linea_horizontal_1),Min(linea_horizontal_1),Max(linea_horizontal_1),Angle(linea_horizontal_1),Length(linea_horizontal_1),Mean(linea_vertical_1),StdDev(linea_vertical_1),Min(linea_vertical_1),Max(linea_vertical_1),Angle(linea_vertical_1),Length(linea_vertical_1),Mean(ovalo_1),StdDev(ovalo_1),Min(ovalo_1),Max(ovalo_1),Mean(linea_horizontal_2),StdDev(linea_horizontal_2),Min(linea_horizontal_2),Max(linea_horizontal_2),Angle(linea_horizontal_2),Length(linea_horizontal_2),Mean(linea_vertical_2),StdDev(linea_vertical_2),Min(linea_vertical_2),Max(linea_vertical_2),Angle(linea_vertical_2),Length(linea_vertical_2),Mean(ovalo_2),StdDev(ovalo_2),Min(ovalo_2),Max(ovalo_2),Mean(linea_horizontal_3),StdDev(linea_horizontal_3),Min(linea_horizontal_3),Max(linea_horizontal_3),Angle(linea_horizontal_3),Length(linea_horizontal_3),Mean(linea_vertical_3),StdDev(linea_vertical_3),Min(linea_vertical_3),Max(linea_vertical_3),Angle(linea_vertical_3),Length(linea_vertical_3),Mean(ovalo_3),StdDev(ovalo_3),Min(ovalo_3),Max(ovalo_3),Mean(linea_horizontal_4),StdDev(linea_horizontal_4),Min(linea_horizontal_4),Max(linea_horizontal_4),Angle(linea_horizontal_4),Length(linea_horizontal_4),Mean(linea_vertical_4),StdDev(linea_vertical_4),Min(linea_vertical_4),Max(linea_vertical_4),Angle(linea_vertical_4),Length(linea_vertical_4),Mean(ovalo_4),StdDev(ovalo_4),Min(ovalo_4),Max(ovalo_4)
1,131.059,18.009,68,166,0,50,119.627,9.314,103,132,90,50,125.640,16.882,53,171,118.451,13.082,64,137,0,50,111.000,8.376,93,119,90,50,115.847,14.005,50,152,120.490,12.880,66,143,0,50,114.235,9.388,96,125,90,50,118.691,14.182,44,153,114.627,13.581,60,134,0,50,104.922,6.511,93,114,90,50,109.359,12.668,37,134
2,130.196,17.590,68,161,0,50,119.314,9.313,102,132,90,50,125.533,16.609,51,171,119.510,12.974,64,137,0,50,111.706,8.796,93,121,90,50,116.308,13.934,50,150,121.902,13.105,66,143,0,50,114.314,8.566,96,125,90,50,119.240,14.243,44,153,114.980,13.719,60,136,0,50,105.510,6.727,94,114,90,50,110.006,12.899,37,137
3,130.059,17.816,68,162,0,50,118.275,9.954,100,132,90,50,124.875,16.955,51,168,119.863,13.126,66,139,0,50,111.824,9.616,91,123,90,50,116.815,14.207,50,150,122.020,12.636,66,143,0,50,115.078,8.966,96,125,90,50,119.710,14.358,44,155,115.216,13.916,59,139,0,50,105.902,6.783,93,114,90,50,110.409,12.936,37,141
4,129.608,17.236,68,161,0,50,118.765,9.686,100,132,90,50,124.941,17.005,53,170,120.843,13.631,66,141,0,50,112.216,9.309,91,123,90,50,117.116,14.379,50,150,121.569,13.023,66,141,0,50,115.373,8.863,98,127,90,50,119.984,14.246,44,153,115.980,13.838,60,139,0,50,106.608,7.161,93,116,90,50,111.077,13.114,37,139
5,127.510,16.407,68,159,0,50,116.804,9.527,100,130,90,50,122.770,16.111,50,164,120.529,13.158,66,137,0,50,112.392,9.812,91,127,90,50,117.088,14.600,50,150,121.882,12.196,68,143,0,50,114.882,7.581,100,123,90,50,119.858,13.572,46,148,116.588,13.977,60,139,0,50,107.902,7.195,96,118,90,50,111.763,13.088,39,141
6,129.098,16.699,69,159,0,50,117.784,9.786,100,132,90,50,123.926,16.371,53,168,120.941,13.643,66,141,0,50,113.137,10.490,93,127,90,50,117.254,14.681,50,152,123.490,12.868,68,143,0,50,115.961,8.282,98,127,90,50,121.316,13.897,46,150,116.333,13.752,60,139,0,50,107.078,6.705,94,116,90,50,111.629,13.161,41,141
7,127.725,15.886,69,155,0,50,117.314,9.740,100,132,90,50,123.505,15.962,53,166,120.980,13.573,66,143,0,50,112.765,10.503,93,127,90,50,117.351,14.535,53,152,128.039,14.789,71,148,0,50,118.510,9.706,98,132,90,50,125.069,15.713,48,157,117.294,14.138,60,139,0,50,108.216,7.159,94,116,90,50,112.036,13.291,39,141
8,128.235,15.688,69,152,0,50,116.627,9.338,100,132,90,50,122.996,15.777,53,161,120.706,12.985,66,141,0,50,113.882,10.516,94,127,90,50,118.177,14.760,51,153,132.059,18.019,71,168,0,50,120.333,10.411,100,134,90,50,128.673,18.238,48,173,117.471,14.257,60,141,0,50,108.118,6.904,94,116,90,50,112.406,13.537,39,145
9,127.098,15.146,71,150,0,50,116.784,9.205,100,128,90,50,122.295,15.142,53,161,121.529,13.841,66,143,0,50,114.569,10.319,94,128,90,50,118.687,14.770,50,153,131.686,16.432,76,166,0,50,120.882,10.736,100,136,90,50,129.609,18.172,51,168,117.137,14.263,59,141,0,50,108.098,6.836,94,116,90,50,112.480,13.687,39,145
10,125.980,14.061,69,145,0,50,116.078,8.877,100,128,90,50,121.409,14.642,53,153,121.275,13.663,66,143,0,50,115.039,10.145,93,127,90,50,119.102,14.738,51,153,132.216,15.666,78,162,0,50,120.824,9.933,103,136,90,50,129.765,17.956,48,166,116.647,13.701,59,141,0,50,107.980,6.641,94,114,90,50,112.285,13.319,41,143
11,125.157,13.856,69,143,0,50,116.098,8.803,100,128,90,50,121.021,14.374,51,152,122.529,14.518,66,145,0,50,114.745,9.742,93,125,90,50,119.414,14.791,51,155,132.000,15.608,73,161,0,50,122.059,10.389,103,141,90,50,129.715,17.634,53,166,116.314,13.885,57,139,0,50,107.490,6.262,96,114,90,50,112.285,13.193,41,143
12,124.471,13.253,69,145,0,50,115.765,8.399,100,128,90,50,120.390,13.877,50,146,122.529,12.993,68,145,0,50,115.333,9.507,93,127,90,50,119.250,14.440,51,152,132.059,16.890,71,159,0,50,121.961,11.820,100,143,90,50,129.318,18.823,51,170,116.196,14.265,57,139,0,50,109.020,5.921,98,116,90,50,112.509,12.956,41,141
13,123.863,13.133,69,141,0,50,114.922,8.468,100,128,90,50,119.732,13.348,51,145,122.059,12.677,68,141,0,50,114.510,8.981,94,125,90,50,118.869,13.965,51,152,133.333,19.120,69,159,0,50,120.824,12.461,96,139,90,50,129.807,20.477,51,177,116.176,14.085,60,139,0,50,108.667,5.659,98,118,90,50,112.705,12.960,39,139
14,122.824,12.932,69,143,0,50,115.157,8.545,100,128,90,50,119.451,13.177,53,143,122.020,12.451,69,141,0,50,115.176,10.083,93,127,90,50,118.740,13.811,50,146,133.157,20.083,69,164,0,50,119.333,12.204,96,136,90,50,129.672,21.308,50,179,116.902,14.332,59,139,0,50,109.392,6.337,96,119,90,50,113.187,12.860,39,141
15,122.471,12.399,69,141,0,50,115.020,8.286,100,127,90,50,118.936,12.866,53,143,124.588,13.767,69,139,0,50,116.353,10.772,94,128,90,50,120.727,14.263,50,146,133.020,20.961,68,168,0,50,118.294,12.173,94,136,90,50,129.824,21.929,50,186,117.078,13.879,60,139,0,50,110.039,6.994,96,119,90,50,113.766,12.976,39,139
16,121.255,11.771,69,141,0,50,114.020,7.664,100,127,90,50,118.071,12.575,51,143,126.804,14.544,71,145,0,50,117.373,10.861,96,132,90,50,123.563,15.917,53,152,133.529,22.055,69,175,0,50,117.529,11.233,96,130,90,50,129.695,21.949,50,186,117.353,13.742,62,137,0,50,109.647,7.197,96,119,90,50,113.798,12.923,39,141
