 ,Area(linea_horizontal_1),Mean(linea_horizontal_1),StdDev(linea_horizontal_1),Angle(linea_horizontal_1),Median(linea_horizontal_1),Length(linea_horizontal_1),Area(linea_vertical_1),Mean(linea_vertical_1),StdDev(linea_vertical_1),Angle(linea_vertical_1),Median(linea_vertical_1),Length(linea_vertical_1),Area(ovalo_1),Mean(ovalo_1),StdDev(ovalo_1),Median(ovalo_1),Area(linea_horizontal_2),Mean(linea_horizontal_2),StdDev(linea_horizontal_2),Angle(linea_horizontal_2),Median(linea_horizontal_2),Length(linea_horizontal_2),Area(linea_vertical_2),Mean(linea_vertical_2),StdDev(linea_vertical_2),Angle(linea_vertical_2),Median(linea_vertical_2),Length(linea_vertical_2),Area(ovalo_2),Mean(ovalo_2),StdDev(ovalo_2),Median(ovalo_2),Area(linea_horizontal_3),Mean(linea_horizontal_3),StdDev(linea_horizontal_3),Angle(linea_horizontal_3),Median(linea_horizontal_3),Length(linea_horizontal_3),Area(linea_vertical_3),Mean(linea_vertical_3),StdDev(linea_vertical_3),Angle(linea_vertical_3),Median(linea_vertical_3),Length(linea_vertical_3),Area(ovalo_3),Mean(ovalo_3),StdDev(ovalo_3),Median(ovalo_3),Area(linea_horizontal_4),Mean(linea_horizontal_4),StdDev(linea_horizontal_4),Angle(linea_horizontal_4),Median(linea_horizontal_4),Length(linea_horizontal_4),Area(linea_vertical_4),Mean(linea_vertical_4),StdDev(linea_vertical_4),Angle(linea_vertical_4),Median(linea_vertical_4),Length(linea_vertical_4),Area(ovalo_4),Mean(ovalo_4),StdDev(ovalo_4),Median(ovalo_4)
1,51,174.118,38.273,0,182,50,51,173.059,18.120,90,177,50,1976,170.815,35.541,177,51,165.510,31.823,0,170,50,51,164.725,23.649,90,170,50,1976,162.378,31.437,170,51,173.373,39.405,0,177,50,51,173.647,14.491,90,177,50,1976,170.050,36.997,175,51,168.353,30.918,0,179,50,51,173.157,21.152,90,179,50,1976,166.087,32.005,175
2,51,173.843,38.049,0,182,50,51,172.980,19.029,90,175,50,1976,170.716,35.438,177,51,164.863,31.912,0,168,50,51,164.392,23.171,90,168,50,1976,162.090,31.577,170,51,173.333,39.405,0,179,50,51,173.255,14.714,90,177,50,1976,170.034,37.119,175,51,168.471,31.064,0,179,50,51,173.157,21.550,90,179,50,1976,165.936,31.981,175
3,51,174.196,37.658,0,184,50,51,173.118,19.925,90,177,50,1976,170.759,35.364,177,51,165.255,33.031,0,171,50,51,165.922,22.205,90,171,50,1976,162.407,31.755,171,51,172.961,39.061,0,180,50,51,173.294,15.006,90,177,50,1976,169.919,36.981,175,51,168.137,30.847,0,177,50,51,172.627,21.225,90,179,50,1976,165.662,31.742,173
4,51,174.039,37.199,0,184,50,51,173.118,19.657,90,175,50,1976,170.477,34.907,177,51,166.627,34.486,0,171,50,51,168.373,19.461,90,173,50,1976,164.407,32.198,173,51,172.294,39.126,0,179,50,51,173.431,14.223,90,177,50,1976,169.379,36.766,175,51,167.686,30.431,0,177,50,51,172.804,22.084,90,179,50,1976,165.512,31.574,173
5,51,173.294,36.175,0,184,50,51,173.373,20.668,90,177,50,1976,170.126,34.229,177,51,169.431,35.792,0,177,50,51,171.784,17.926,90,177,50,1976,167.695,33.695,175,51,172.647,38.513,0,179,50,51,173.765,14.366,90,177,50,1976,169.625,36.390,175,51,168.098,30.322,0,177,50,51,172.176,22.184,90,179,50,1976,165.321,31.502,173
6,51,173.059,35.534,0,184,50,51,173.784,20.910,90,177,50,1976,169.998,33.913,177,51,173.098,38.485,0,182,50,51,173.608,16.117,90,179,50,1976,170.328,36.043,177,51,173.176,37.279,0,180,50,51,173.431,14.292,90,177,50,1976,169.634,35.901,175,51,167.373,30.655,0,175,50,51,172.098,22.787,90,179,50,1976,164.960,31.522,173
7,51,172.431,35.101,0,186,50,51,172.961,21.149,90,177,50,1976,169.312,33.363,177,51,174.549,40.775,0,180,50,51,173.569,15.846,90,177,50,1976,170.967,37.231,175,51,173.196,37.282,0,180,50,51,173.725,15.288,90,177,50,1976,169.535,35.788,177,51,167.078,29.946,0,173,50,51,171.549,22.538,90,179,50,1976,164.477,31.402,171
8,51,172.216,33.911,0,184,50,51,172.333,21.367,90,175,50,1976,168.978,32.926,177,51,175.529,42.129,0,180,50,51,172.784,15.473,90,177,50,1976,171.195,37.968,175,51,172.608,36.422,0,180,50,51,174.275,15.827,90,179,50,1976,169.224,35.372,177,51,166.431,30.378,0,175,50,51,171.059,22.383,90,177,50,1976,164.115,31.402,171
9,51,171.373,33.156,0,182,50,51,171.765,21.234,90,175,50,1976,168.602,32.477,177,51,175.255,43.091,0,179,50,51,172.902,15.488,90,177,50,1976,170.991,38.181,175,51,172.235,36.640,0,180,50,51,173.745,16.411,90,177,50,1976,168.919,35.040,177,51,166.373,30.178,0,173,50,51,169.863,22.444,90,177,50,1976,163.689,31.435,171
10,51,171.569,32.971,0,180,50,51,172.039,22.241,90,177,50,1976,168.597,32.335,177,51,175.078,42.849,0,180,50,51,172.804,15.765,90,177,50,1976,171.118,38.405,175,51,171.863,35.972,0,179,50,51,174.255,17.139,90,179,50,1976,169.008,34.843,177,51,166.451,30.178,0,173,50,51,169.549,22.659,90,175,50,1976,163.600,31.486,171
