 ,Area(linea_horizontal_1),Mean(linea_horizontal_1),StdDev(linea_horizontal_1),Angle(linea_horizontal_1),Median(linea_horizontal_1),Length(linea_horizontal_1),Area(linea_vertical_1),Mean(linea_vertical_1),StdDev(linea_vertical_1),Angle(linea_vertical_1),Median(linea_vertical_1),Length(linea_vertical_1),Area(ovalo_1),Mean(ovalo_1),StdDev(ovalo_1),Angle(ovalo_1),Median(ovalo_1),Length(ovalo_1),Area(linea_horizontal_2),Mean(linea_horizontal_2),StdDev(linea_horizontal_2),Angle(linea_horizontal_2),Median(linea_horizontal_2),Length(linea_horizontal_2),Area(linea_vertical_2),Mean(linea_vertical_2),StdDev(linea_vertical_2),Angle(linea_vertical_2),Median(linea_vertical_2),Length(linea_vertical_2),Area(ovalo_2),Mean(ovalo_2),StdDev(ovalo_2),Angle(ovalo_2),Median(ovalo_2),Length(ovalo_2),Area(linea_horizontal_3),Mean(linea_horizontal_3),StdDev(linea_horizontal_3),Angle(linea_horizontal_3),Median(linea_horizontal_3),Length(linea_horizontal_3),Area(linea_vertical_3),Mean(linea_vertical_3),StdDev(linea_vertical_3),Angle(linea_vertical_3),Median(linea_vertical_3),Length(linea_vertical_3),Area(ovalo_3),Mean(ovalo_3),StdDev(ovalo_3),Angle(ovalo_3),Median(ovalo_3),Length(ovalo_3),Area(linea_horizontal_4),Mean(linea_horizontal_4),StdDev(linea_horizontal_4),Angle(linea_horizontal_4),Median(linea_horizontal_4),Length(linea_horizontal_4),Area(linea_vertical_4),Mean(linea_vertical_4),StdDev(linea_vertical_4),Angle(linea_vertical_4),Median(linea_vertical_4),Length(linea_vertical_4),Area(ovalo_4),Mean(ovalo_4),StdDev(ovalo_4),Angle(ovalo_4),Median(ovalo_4),Length(ovalo_4)
1,51,63.569,13.196,0,64,50,51,63.667,24.199,90,71,50,1976,62.658,25.205,0,59,0,51,73.431,17.017,0,75,50,51,72.392,26.101,90,78,50,1976,71.371,28.591,0,66,0,51,85.314,21.426,0,89,50,51,81.667,29.548,90,96,50,1976,77.965,31.966,0,71,0,51,78.843,19.371,0,85,50,51,76.451,26.743,90,91,50,1976,72.935,27.726,0,69,0
2,51,63.255,13.541,0,66,50,51,63.098,23.899,90,69,50,1976,62.596,25.120,0,59,0,51,73.412,17.037,0,75,50,51,72.000,26.180,90,75,50,1976,71.160,28.460,0,66,0,51,84.941,21.553,0,87,50,51,81.020,29.319,90,94,50,1976,77.811,31.954,0,71,0,51,81.039,20.650,0,85,50,51,78.078,27.702,90,93,50,1976,74.306,28.766,0,71,0
3,51,63.118,13.003,0,66,50,51,62.765,24.272,90,69,50,1976,62.421,25.049,0,59,0,51,73.569,16.511,0,75,50,51,71.627,25.803,90,75,50,1976,70.968,28.298,0,64,0,51,84.157,22.122,0,87,50,51,81.196,28.514,90,94,50,1976,77.780,31.784,0,71,0,51,82.333,21.235,0,87,50,51,79.098,28.091,90,94,50,1976,75.534,29.400,0,71,0
4,51,62.863,12.834,0,64,50,51,62.784,23.930,90,68,50,1976,62.364,25.012,0,57,0,51,72.647,15.847,0,75,50,51,71.765,25.645,90,75,50,1976,70.594,28.137,0,64,0,51,84.078,22.047,0,87,50,51,80.059,27.707,90,91,50,1976,77.594,31.816,0,71,0,51,83.686,21.525,0,91,50,51,79.863,28.707,90,96,50,1976,76.661,30.180,0,71,0
5,51,62.412,12.570,0,62,50,51,63.039,24.301,90,68,50,1976,62.132,24.886,0,57,0,51,72.608,15.916,0,75,50,51,71.373,25.349,90,75,50,1976,70.366,28.110,0,64,0,51,84.020,22.148,0,87,50,51,79.569,27.819,90,91,50,1976,77.433,31.776,0,71,0,51,84.431,21.961,0,87,50,51,80.725,28.754,90,94,50,1976,77.507,30.702,0,73,0
6,51,62.373,12.363,0,62,50,51,63.039,24.421,90,68,50,1976,61.981,24.919,0,57,0,51,72.529,16.141,0,73,50,51,71.275,25.316,90,75,50,1976,70.143,27.910,0,64,0,51,84.039,21.985,0,87,50,51,79.078,27.865,90,91,50,1976,77.304,31.896,0,71,0,51,85.059,22.416,0,89,50,51,81.588,29.391,90,98,50,1976,78.098,31.117,0,73,0
7,51,62.020,12.414,0,62,50,51,62.961,24.472,90,69,50,1976,61.894,24.893,0,57,0,51,72.098,15.913,0,71,50,51,71.176,25.450,90,75,50,1976,69.618,27.808,0,64,0,51,84.020,22.444,0,89,50,51,79.176,27.778,90,91,50,1976,77.122,31.800,0,71,0,51,86.059,22.913,0,89,50,51,82.941,29.839,90,98,50,1976,79.010,31.615,0,73,0
8,51,61.882,12.483,0,62,50,51,62.706,24.437,90,68,50,1976,61.806,24.846,0,57,0,51,72.157,16.202,0,73,50,51,70.980,25.321,90,76,50,1976,69.400,27.740,0,64,0,51,83.961,22.381,0,89,50,51,79.020,27.730,90,91,50,1976,77.063,31.723,0,71,0,51,86.765,23.382,0,89,50,51,83.804,30.293,90,100,50,1976,79.523,32.175,0,73,0
9,51,61.745,12.056,0,62,50,51,62.451,24.805,90,68,50,1976,61.631,24.887,0,57,0,51,71.392,15.886,0,73,50,51,69.784,25.208,90,76,50,1976,69.023,27.421,0,62,0,51,83.529,22.275,0,85,50,51,79.098,27.232,90,91,50,1976,77.097,31.636,0,71,0,51,87.490,23.498,0,93,50,51,84.176,30.639,90,100,50,1976,80.018,32.424,0,73,0
10,51,61.471,11.920,0,62,50,51,62.922,24.462,90,68,50,1976,61.626,24.848,0,55,0,51,70.804,15.484,0,71,50,51,69.510,25.326,90,76,50,1976,68.662,27.298,0,62,0,51,83.020,21.969,0,85,50,51,79.059,27.528,90,91,50,1976,76.867,31.675,0,71,0,51,87.490,23.599,0,89,50,51,85.039,31.003,90,100,50,1976,80.415,32.635,0,75,0
