 ,Area(linea_horizontal_1),Mean(linea_horizontal_1),StdDev(linea_horizontal_1),Min(linea_horizontal_1),Max(linea_horizontal_1),Angle(linea_horizontal_1),Feret(linea_horizontal_1),FeretX(linea_horizontal_1),FeretY(linea_horizontal_1),FeretAngle(linea_horizontal_1),MinFeret(linea_horizontal_1),Length(linea_horizontal_1),Area(linea_vertical_1),Mean(linea_vertical_1),StdDev(linea_vertical_1),Min(linea_vertical_1),Max(linea_vertical_1),Angle(linea_vertical_1),Feret(linea_vertical_1),FeretX(linea_vertical_1),FeretY(linea_vertical_1),FeretAngle(linea_vertical_1),MinFeret(linea_vertical_1),Length(linea_vertical_1),Area(ovalo_1),Mean(ovalo_1),StdDev(ovalo_1),Min(ovalo_1),Max(ovalo_1),Feret(ovalo_1),FeretX(ovalo_1),FeretY(ovalo_1),FeretAngle(ovalo_1),MinFeret(ovalo_1),Area(linea_horizontal_2),Mean(linea_horizontal_2),StdDev(linea_horizontal_2),Min(linea_horizontal_2),Max(linea_horizontal_2),Angle(linea_horizontal_2),Feret(linea_horizontal_2),FeretX(linea_horizontal_2),FeretY(linea_horizontal_2),FeretAngle(linea_horizontal_2),MinFeret(linea_horizontal_2),Length(linea_horizontal_2),Area(linea_vertical_2),Mean(linea_vertical_2),StdDev(linea_vertical_2),Min(linea_vertical_2),Max(linea_vertical_2),Angle(linea_vertical_2),Feret(linea_vertical_2),FeretX(linea_vertical_2),FeretY(linea_vertical_2),FeretAngle(linea_vertical_2),MinFeret(linea_vertical_2),Length(linea_vertical_2),Area(ovalo_2),Mean(ovalo_2),StdDev(ovalo_2),Min(ovalo_2),Max(ovalo_2),Feret(ovalo_2),FeretX(ovalo_2),FeretY(ovalo_2),FeretAngle(ovalo_2),MinFeret(ovalo_2),Area(linea_horizontal_3),Mean(linea_horizontal_3),StdDev(linea_horizontal_3),Min(linea_horizontal_3),Max(linea_horizontal_3),Angle(linea_horizontal_3),Feret(linea_horizontal_3),FeretX(linea_horizontal_3),FeretY(linea_horizontal_3),FeretAngle(linea_horizontal_3),MinFeret(linea_horizontal_3),Length(linea_horizontal_3),Area(linea_vertical_3),Mean(linea_vertical_3),StdDev(linea_vertical_3),Min(linea_vertical_3),Max(linea_vertical_3),Angle(linea_vertical_3),Feret(linea_vertical_3),FeretX(linea_vertical_3),FeretY(linea_vertical_3),FeretAngle(linea_vertical_3),MinFeret(linea_vertical_3),Length(linea_vertical_3),Area(ovalo_3),Mean(ovalo_3),StdDev(ovalo_3),Min(ovalo_3),Max(ovalo_3),Feret(ovalo_3),FeretX(ovalo_3),FeretY(ovalo_3),FeretAngle(ovalo_3),MinFeret(ovalo_3),Area(linea_horizontal_4),Mean(linea_horizontal_4),StdDev(linea_horizontal_4),Min(linea_horizontal_4),Max(linea_horizontal_4),Angle(linea_horizontal_4),Feret(linea_horizontal_4),FeretX(linea_horizontal_4),FeretY(linea_horizontal_4),FeretAngle(linea_horizontal_4),MinFeret(linea_horizontal_4),Length(linea_horizontal_4),Area(linea_vertical_4),Mean(linea_vertical_4),StdDev(linea_vertical_4),Min(linea_vertical_4),Max(linea_vertical_4),Angle(linea_vertical_4),Feret(linea_vertical_4),FeretX(linea_vertical_4),FeretY(linea_vertical_4),FeretAngle(linea_vertical_4),MinFeret(linea_vertical_4),Length(linea_vertical_4),Area(ovalo_4),Mean(ovalo_4),StdDev(ovalo_4),Min(ovalo_4),Max(ovalo_4),Feret(ovalo_4),FeretX(ovalo_4),FeretY(ovalo_4),FeretAngle(ovalo_4),MinFeret(ovalo_4)
1,51,79.569,12.363,46,103,0,50,96,66,0,0,50,51,96.235,26.217,64,139,90,50,121,41,90,0,50,1976,87.317,24.692,37,159,50,96,66,0,50,51,91.176,14.875,48,112,0,50,96,167,0,0,50,51,112.804,37.656,66,193,90,50,121,142,90,0,50,1976,100.872,31.299,39,202,50,96,167,0,50,49,100.163,12.037,55,119,0,48,96,268,0,0,48,51,105.098,21.567,69,137,90,50,120,243,90,0,50,1888,107.456,29.652,5,255,50,120,293,90,48,47,109.340,10.128,84,139,0,46,96,369,0,0,46,51,111.804,24.023,76,146,90,50,119,344,90,0,50,1804,111.003,24.750,37,255,50,119,394,90,46
2,51,79.196,12.316,46,103,0,50,96,66,0,0,50,51,94.471,25.959,62,136,90,50,121,41,90,0,50,1976,86.916,24.568,37,155,50,96,66,0,50,51,92.922,15.691,46,118,0,50,96,167,0,0,50,51,113.863,38.414,64,195,90,50,121,142,90,0,50,1976,101.484,31.286,39,205,50,96,167,0,50,49,99.633,12.129,55,118,0,48,96,268,0,0,48,51,104.431,22.421,68,139,90,50,120,243,90,0,50,1888,107.052,30.093,5,255,50,120,293,90,48,47,108.915,10.264,85,139,0,46,96,369,0,0,46,51,112.098,23.720,76,145,90,50,119,344,90,0,50,1804,111.164,24.678,39,255,50,119,394,90,46
3,51,79.235,11.789,46,102,0,50,96,66,0,0,50,51,93.843,25.512,62,139,90,50,121,41,90,0,50,1976,86.424,24.300,37,155,50,96,66,0,50,51,91.608,14.559,48,112,0,50,96,167,0,0,50,51,113.039,37.317,64,193,90,50,121,142,90,0,50,1976,101.260,31.294,37,204,50,96,167,0,50,49,98.245,11.426,55,114,0,48,96,268,0,0,48,51,105.765,24.173,66,152,90,50,120,243,90,0,50,1888,106.574,30.068,5,255,50,120,293,90,48,47,108.319,10.503,84,141,0,46,96,369,0,0,46,51,112.412,23.059,76,145,90,50,119,344,90,0,50,1804,111.478,24.560,42,255,50,119,394,90,46
4,51,79.549,12.230,46,103,0,50,96,66,0,0,50,51,92.863,24.626,60,136,90,50,121,41,90,0,50,1976,86.490,23.891,35,152,50,96,66,0,50,51,93.137,15.378,48,116,0,50,96,167,0,0,50,51,113.255,38.422,64,191,90,50,121,142,90,0,50,1976,101.693,31.406,37,198,50,96,167,0,50,49,98.224,11.121,57,116,0,48,96,268,0,0,48,51,105.176,23.605,66,152,90,50,120,243,90,0,50,1888,106.407,30.296,5,255,50,120,293,90,48,47,108.574,10.585,85,141,0,46,96,369,0,0,46,51,112.686,23.273,78,145,90,50,119,344,90,0,50,1804,111.581,24.703,51,255,50,119,394,90,46
5,51,79.000,12.335,44,100,0,50,96,66,0,0,50,51,92.647,24.258,64,136,90,50,121,41,90,0,50,1976,85.893,23.803,35,152,50,96,66,0,50,51,91.529,14.915,48,112,0,50,96,167,0,0,50,51,112.196,38.201,62,193,90,50,121,142,90,0,50,1976,100.902,31.325,39,195,50,96,167,0,50,49,98.408,11.134,57,116,0,48,96,268,0,0,48,51,104.588,23.850,66,150,90,50,120,243,90,0,50,1888,106.047,30.443,8,255,50,120,293,90,48,47,108.766,10.126,84,141,0,46,96,369,0,0,46,51,113.118,23.185,78,145,90,50,119,344,90,0,50,1804,111.531,24.840,51,255,50,119,394,90,46
6,51,79.490,12.567,44,100,0,50,96,66,0,0,50,51,92.647,23.838,62,136,90,50,121,41,90,0,50,1976,86.105,23.688,35,152,50,96,66,0,50,51,91.980,15.001,48,112,0,50,96,167,0,0,50,51,111.157,37.813,62,193,90,50,121,142,90,0,50,1976,100.657,31.147,39,195,50,96,167,0,50,49,98.143,10.776,57,116,0,48,96,268,0,0,48,51,104.098,23.177,66,148,90,50,120,243,90,0,50,1888,105.689,30.312,5,255,50,120,293,90,48,47,108.021,10.205,85,141,0,46,96,369,0,0,46,51,112.569,23.214,78,145,90,50,119,344,90,0,50,1804,111.521,24.982,50,255,50,119,394,90,46
7,51,79.314,12.071,44,98,0,50,96,66,0,0,50,51,92.549,24.109,62,136,90,50,121,41,90,0,50,1976,86.094,23.732,35,155,50,96,66,0,50,51,91.588,14.365,48,112,0,50,96,167,0,0,50,51,110.824,37.942,62,191,90,50,121,142,90,0,50,1976,100.529,31.060,37,195,50,96,167,0,50,49,98.429,10.803,57,116,0,48,96,268,0,0,48,51,102.647,23.102,64,145,90,50,120,243,90,0,50,1888,105.402,30.038,12,255,50,120,293,90,48,47,107.830,10.145,85,141,0,46,96,369,0,0,46,51,112.647,24.273,76,146,90,50,119,344,90,0,50,1804,111.217,25.218,53,255,50,119,394,90,46
8,51,79.784,12.599,44,100,0,50,96,66,0,0,50,51,92.471,24.415,64,136,90,50,121,41,90,0,50,1976,86.347,23.741,37,155,50,96,66,0,50,51,91.353,14.394,46,112,0,50,96,167,0,0,50,51,109.941,38.641,62,195,90,50,121,142,90,0,50,1976,99.990,31.042,37,195,50,96,167,0,50,49,98.612,10.872,57,116,0,48,96,268,0,0,48,51,101.647,22.950,64,143,90,50,120,243,90,0,50,1888,104.968,29.929,10,255,50,120,293,90,48,47,105.979,10.135,85,137,0,46,96,369,0,0,46,51,111.608,24.194,75,145,90,50,119,344,90,0,50,1804,110.139,25.464,51,255,50,119,394,90,46
9,51,79.627,13.069,44,102,0,50,96,66,0,0,50,51,93.294,24.397,64,136,90,50,121,41,90,0,50,1976,86.679,23.963,35,159,50,96,66,0,50,51,91.039,14.642,46,114,0,50,96,167,0,0,50,51,109.784,37.739,62,191,90,50,121,142,90,0,50,1976,99.910,30.707,39,191,50,96,167,0,50,49,97.837,10.968,57,114,0,48,96,268,0,0,48,51,100.961,23.129,64,141,90,50,120,243,90,0,50,1888,104.329,29.643,5,255,50,120,293,90,48,47,105.872,9.788,85,134,0,46,96,369,0,0,46,51,110.608,24.454,75,143,90,50,119,344,90,0,50,1804,109.454,25.929,57,255,50,119,394,90,46
10,51,81.588,14.053,44,102,0,50,96,66,0,0,50,51,93.373,24.002,64,136,90,50,121,41,90,0,50,1976,87.449,24.194,35,161,50,96,66,0,50,51,89.863,13.609,44,112,0,50,96,167,0,0,50,51,108.667,37.892,60,187,90,50,121,142,90,0,50,1976,98.868,30.576,37,193,50,96,167,0,50,49,97.429,10.792,57,116,0,48,96,268,0,0,48,51,100.137,22.244,64,137,90,50,120,243,90,0,50,1888,103.843,29.328,14,255,50,120,293,90,48,47,105.723,10.187,84,134,0,46,96,369,0,0,46,51,109.882,24.408,75,143,90,50,119,344,90,0,50,1804,108.928,26.006,44,255,50,119,394,90,46
