 ,Mean(linea_horizontal_1),StdDev(linea_horizontal_1),Min(linea_horizontal_1),Max(linea_horizontal_1),Angle(linea_horizontal_1),Length(linea_horizontal_1),Mean(linea_vertical_1),StdDev(linea_vertical_1),Min(linea_vertical_1),Max(linea_vertical_1),Angle(linea_vertical_1),Length(linea_vertical_1),Mean(ovalo_1),StdDev(ovalo_1),Min(ovalo_1),Max(ovalo_1),Mean(linea_horizontal_2),StdDev(linea_horizontal_2),Min(linea_horizontal_2),Max(linea_horizontal_2),Angle(linea_horizontal_2),Length(linea_horizontal_2),Mean(linea_vertical_2),StdDev(linea_vertical_2),Min(linea_vertical_2),Max(linea_vertical_2),Angle(linea_vertical_2),Length(linea_vertical_2),Mean(ovalo_2),StdDev(ovalo_2),Min(ovalo_2),Max(ovalo_2),Mean(linea_horizontal_3),StdDev(linea_horizontal_3),Min(linea_horizontal_3),Max(linea_horizontal_3),Angle(linea_horizontal_3),Length(linea_horizontal_3),Mean(linea_vertical_3),StdDev(linea_vertical_3),Min(linea_vertical_3),Max(linea_vertical_3),Angle(linea_vertical_3),Length(linea_vertical_3),Mean(ovalo_3),StdDev(ovalo_3),Min(ovalo_3),Max(ovalo_3),Mean(linea_horizontal_4),StdDev(linea_horizontal_4),Min(linea_horizontal_4),Max(linea_horizontal_4),Angle(linea_horizontal_4),Length(linea_horizontal_4),Mean(linea_vertical_4),StdDev(linea_vertical_4),Min(linea_vertical_4),Max(linea_vertical_4),Angle(linea_vertical_4),Length(linea_vertical_4),Mean(ovalo_4),StdDev(ovalo_4),Min(ovalo_4),Max(ovalo_4)
1,50.176,30.059,14,125,0,50,33.980,6.124,25,46,90,50,42.107,21.635,7,123,48.882,28.236,12,118,0,50,33.902,6.093,23,46,90,50,41.225,20.462,7,119,49.059,31.773,14,132,0,50,33.431,5.791,23,44,90,50,41.314,22.153,7,127,51.373,25.147,14,102,0,50,37.608,5.639,28,48,90,50,44.181,19.514,7,107
2,50.529,30.413,14,125,0,50,33.686,6.272,25,48,90,50,42.267,22.086,7,127,49.235,29.067,12,119,0,50,33.216,6.211,23,46,90,50,41.398,20.948,7,119,49.412,31.894,14,134,0,50,33.431,5.587,25,44,90,50,41.514,22.332,7,128,51.353,25.226,12,103,0,50,37.392,5.422,28,46,90,50,43.831,19.272,7,105
3,50.216,31.406,14,132,0,50,33.510,6.281,23,46,90,50,42.085,22.224,7,130,48.451,29.168,14,119,0,50,33.294,6.103,23,46,90,50,41.253,21.084,7,123,50.078,31.893,14,136,0,50,33.118,5.819,25,46,90,50,41.809,22.545,7,132,50.627,24.444,14,100,0,50,37.039,5.855,25,46,90,50,43.554,18.874,7,100
4,50.706,32.422,14,137,0,50,33.824,6.199,23,46,90,50,42.509,22.823,7,132,49.275,30.180,14,127,0,50,33.627,5.980,23,46,90,50,41.492,21.438,7,123,49.706,32.662,14,139,0,50,33.490,5.608,25,44,90,50,41.848,22.754,7,134,50.451,24.722,14,100,0,50,36.961,5.674,26,46,90,50,43.632,19.070,7,100
5,51.196,33.026,14,139,0,50,33.353,6.102,23,46,90,50,42.491,23.095,7,136,49.333,30.563,14,130,0,50,33.549,5.897,23,46,90,50,41.567,21.641,7,125,50.039,32.876,14,139,0,50,33.471,5.598,25,44,90,50,41.905,22.955,7,136,49.627,24.226,14,102,0,50,36.706,6.001,25,46,90,50,43.254,18.741,7,102
6,51.118,33.314,14,141,0,50,33.353,6.235,23,46,90,50,42.580,23.380,7,134,49.196,30.999,14,130,0,50,33.314,5.924,23,46,90,50,41.614,21.944,8,127,50.137,33.130,14,141,0,50,33.471,5.732,23,44,90,50,41.900,22.943,7,136,50.392,24.235,14,100,0,50,37.294,5.853,26,46,90,50,43.798,18.803,7,100
7,51.098,33.620,14,145,0,50,33.431,6.110,25,46,90,50,42.688,23.652,8,141,49.804,31.520,14,136,0,50,33.627,6.073,23,46,90,50,41.709,22.012,8,128,50.235,33.588,14,143,0,50,33.569,5.742,25,44,90,50,42.052,23.153,7,137,49.647,23.695,14,100,0,50,36.765,5.918,25,46,90,50,43.320,18.551,5,100
8,51.078,34.059,14,146,0,50,33.647,5.986,25,46,90,50,42.652,23.616,7,139,49.608,31.536,14,137,0,50,33.588,6.073,23,46,90,50,41.771,22.095,8,127,50.529,33.701,14,148,0,50,32.980,6.185,23,44,90,50,41.933,22.959,7,139,50.471,23.884,16,100,0,50,37.196,6.125,25,46,90,50,43.773,18.550,5,102
9,52.059,35.060,14,152,0,50,33.686,6.237,23,48,90,50,42.921,24.044,7,143,50.569,33.075,14,141,0,50,33.765,6.101,23,46,90,50,42.076,22.514,8,134,50.824,33.800,14,146,0,50,33.098,5.637,23,44,90,50,41.922,22.965,7,139,49.510,23.556,14,96,0,50,36.647,6.305,25,48,90,50,43.220,18.431,5,100
10,52.059,35.293,14,153,0,50,33.510,6.153,23,48,90,50,43.008,24.113,7,143,50.941,33.180,14,143,0,50,33.373,5.963,25,46,90,50,41.869,22.511,8,136,50.549,33.331,14,141,0,50,32.667,5.830,23,44,90,50,41.973,22.774,7,136,49.490,23.908,14,98,0,50,36.627,5.727,26,46,90,50,42.973,18.362,5,100
11,52.863,36.328,14,157,0,50,33.843,5.870,25,48,90,50,43.272,24.499,7,150,51.137,33.255,14,146,0,50,33.706,6.259,25,46,90,50,42.253,22.797,8,136,50.216,30.827,14,130,0,50,33.843,5.794,23,46,90,50,41.920,21.637,7,123,49.647,23.795,14,98,0,50,35.882,6.002,25,46,90,50,42.718,18.411,5,100
