LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(mm),(mm),(mm),(frame),,(mm),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(mm),(mm),(mm),(mm),(radians),,(mm^2),(mm),,,
ID48319,48319,2,0.8789975047111511,7.437398517009573,2.724336433953442,0.0,0.0,0,0.31541213628005016,1,,159.12891986062718,162.0,18.0,231.0,45670.0,63.28988225366161,0.6708408587643333,2.0189671005603222,3.922157619540443E-4,6.804716538085251E-4,0.3536076058893546,0.2833153380524138,0.7156608831401478,1.2481061149747443,0.31254076618689397,2.068357932535627,0.9180474824671254,0.9829059829059834,3.699749839520627
ID48324,48324,2,0.8928956985473633,7.436617160548723,2.712637541933517,0.0,1.0,1,0.3076366976324692,1,,160.99264705882354,167.0,29.0,231.0,43790.0,61.339295486881795,0.6921864873659036,2.1471982640653082,0.001141570201965126,8.306529780536077E-4,0.3517975591587492,0.27164022279996325,0.60990525675724,1.295086403377802,0.2973213897464887,2.041043717631242,0.896873937645617,0.9802867383512542,3.743167229121878
ID48332,48332,2,0.8504686951637268,7.470038109482323,2.7472654235632574,0.0,2.0,2,0.30253269320145443,1,,171.29770992366412,184.0,43.0,231.0,44880.0,54.577330234982945,0.6944330224654444,2.5726175213550646,-3.064767064793902E-4,0.0015704840091069862,0.3486614630321595,0.2647924173866492,0.7144760000868513,1.3167350729799974,0.2875375048919424,2.0024155844678857,0.9011476002935757,0.9760147601476012,3.734280757346731
ID48340,48340,2,0.8676949739456177,7.45766610836111,2.714225860902175,0.0,3.0,3,0.3002363966764975,1,,164.77692307692308,167.0,26.0,231.0,42842.0,59.52459864440775,0.6924559522476926,2.265190267309609,5.690953409130727E-5,0.0011501774846356598,0.3448050195306322,0.2639324319031277,0.7289370428709939,1.3064139827165595,0.2831891116232552,2.0024155844678853,0.8875196592683425,0.9774859287054407,3.762841638110125
ID48347,48347,2,0.8721530437469482,7.465351116083785,2.7423795301880123,0.0,4.0,4,0.29879224979116054,1,,170.28515625,184.0,37.0,231.0,43593.0,56.48793671648217,0.6775292056344846,2.4350562990321793,-6.504710488562125E-4,0.001276060393776904,0.34004568766601084,0.26574649109006054,0.6500293296198801,1.2795867455151857,0.28047136583032567,2.0021091103136213,0.8792713243902645,0.9735849056603771,3.7804498140581555
ID48354,48354,2,0.8770722150802612,7.493103530008914,2.7284525275662457,0.0,5.0,5,0.2848596254428467,1,,175.6206896551724,192.0,18.0,231.0,40744.0,56.16590378133567,0.6923681420803937,2.5584395344387216,-7.318595446617359E-4,1.4879362564753433E-4,0.31990804209041857,0.2562042904456329,0.6175857237986908,1.2486443592883691,0.2549245553767882,1.8822782264968487,0.9041779203021086,0.9770833333333333,3.7280178511690667
ID48361,48361,2,0.8704783916473389,7.468907471527627,2.759536064125738,0.0,6.0,6,0.29027454845701656,1,,172.4149377593361,184.0,29.0,231.0,41552.0,53.84617389007586,0.6753369067525842,2.581477620771044,-7.737511430450817E-4,-3.529081173331019E-4,0.3348014607737121,0.25447427683407964,0.5529468667140738,1.315659346551584,0.26470844023133455,1.9382208927526117,0.885464413403673,0.9681908548707754,3.7672060610149694
